year,region_num,region_code,Region Name,value_level,value
1986,1,36,Lower Mainstem,lower,5
1986,1,33,Middle Mainstem,lower,0
1986,1,34,Pelly,lower,16.5
1986,1,35,Stewart,lower,8.9
1986,1,31,Teslin River,lower,28.2
1986,1,30,Upper Lakes and Mainstem,lower,0.9
1986,1,38,White-Donjek,lower,5.3
1987,1,32,Carmacks,lower,5.4
1987,1,36,Lower Mainstem,lower,2
1987,1,33,Middle Mainstem,lower,1.5
1987,1,34,Pelly,lower,27.2
1987,1,35,Stewart,lower,6.6
1987,1,31,Teslin River,lower,22.5
1987,1,30,Upper Lakes and Mainstem,lower,1.1
1987,1,38,White-Donjek,lower,6.1
1991,1,32,Carmacks,lower,9.1
1991,1,36,Lower Mainstem,lower,8.8
1991,1,33,Middle Mainstem,lower,3
1991,1,34,Pelly,lower,13.7
1991,1,35,Stewart,lower,6.3
1991,1,31,Teslin River,lower,23.3
1991,1,30,Upper Lakes and Mainstem,lower,5.4
1991,1,38,White-Donjek,lower,1.1
1992,1,32,Carmacks,lower,4.7
1992,1,36,Lower Mainstem,lower,9.5
1992,1,33,Middle Mainstem,lower,9
1992,1,34,Pelly,lower,18.4
1992,1,35,Stewart,lower,7.6
1992,1,31,Teslin River,lower,14.8
1992,1,30,Upper Lakes and Mainstem,lower,1
1992,1,38,White-Donjek,lower,7.9
1993,1,32,Carmacks,lower,4
1993,1,36,Lower Mainstem,lower,17.4
1993,1,33,Middle Mainstem,lower,7.3
1993,1,34,Pelly,lower,9.5
1993,1,35,Stewart,lower,4.9
1993,1,31,Teslin River,lower,15.7
1993,1,30,Upper Lakes and Mainstem,lower,1.4
1993,1,38,White-Donjek,lower,13.2
1994,1,32,Carmacks,lower,9.3
1994,1,36,Lower Mainstem,lower,14.9
1994,1,33,Middle Mainstem,lower,1.3
1994,1,34,Pelly,lower,13.1
1994,1,35,Stewart,lower,6.8
1994,1,31,Teslin River,lower,13.7
1994,1,30,Upper Lakes and Mainstem,lower,2.2
1994,1,38,White-Donjek,lower,9.2
1995,1,32,Carmacks,lower,8.7
1995,1,36,Lower Mainstem,lower,4.9
1995,1,33,Middle Mainstem,lower,7.4
1995,1,34,Pelly,lower,6.7
1995,1,35,Stewart,lower,12.1
1995,1,31,Teslin River,lower,23
1995,1,30,Upper Lakes and Mainstem,lower,5.2
1995,1,38,White-Donjek,lower,2.5
1996,1,32,Carmacks,lower,17.7
1996,1,36,Lower Mainstem,lower,3.8
1996,1,33,Middle Mainstem,lower,1
1996,1,34,Pelly,lower,8.1
1996,1,35,Stewart,lower,4.7
1996,1,31,Teslin River,lower,16.2
1996,1,30,Upper Lakes and Mainstem,lower,3
1996,1,38,White-Donjek,lower,14.9
1997,1,32,Carmacks,lower,17.8
1997,1,36,Lower Mainstem,lower,6.1
1997,1,33,Middle Mainstem,lower,0
1997,1,34,Pelly,lower,7.3
1997,1,35,Stewart,lower,6.1
1997,1,31,Teslin River,lower,27.8
1997,1,30,Upper Lakes and Mainstem,lower,5.2
1997,1,38,White-Donjek,lower,4.1
1999,1,32,Carmacks,lower,13.6
1999,1,36,Lower Mainstem,lower,5.9
1999,1,33,Middle Mainstem,lower,10.2
1999,1,34,Pelly,lower,8.9
1999,1,35,Stewart,lower,5.5
1999,1,31,Teslin River,lower,14.3
1999,1,30,Upper Lakes and Mainstem,lower,2.6
1999,1,38,White-Donjek,lower,8
2000,1,32,Carmacks,lower,15.8
2000,1,36,Lower Mainstem,lower,3.5
2000,1,33,Middle Mainstem,lower,7.5
2000,1,34,Pelly,lower,17.3
2000,1,35,Stewart,lower,0
2000,1,31,Teslin River,lower,13.2
2000,1,30,Upper Lakes and Mainstem,lower,4.3
2000,1,38,White-Donjek,lower,12
2001,1,32,Carmacks,lower,5.5
2001,1,36,Lower Mainstem,lower,22
2001,1,33,Middle Mainstem,lower,0
2001,1,34,Pelly,lower,21.2
2001,1,35,Stewart,lower,6
2001,1,31,Teslin River,lower,9.6
2001,1,30,Upper Lakes and Mainstem,lower,0
2001,1,38,White-Donjek,lower,11.3
2002,1,32,Carmacks,lower,4.4
2002,1,36,Lower Mainstem,lower,10.7
2002,1,33,Middle Mainstem,lower,23.8
2002,1,34,Pelly,lower,3.7
2002,1,35,Stewart,lower,12.9
2002,1,31,Teslin River,lower,17.2
2002,1,30,Upper Lakes and Mainstem,lower,0.5
2002,1,38,White-Donjek,lower,0
2003,1,32,Carmacks,lower,11.5
2003,1,36,Lower Mainstem,lower,18
2003,1,33,Middle Mainstem,lower,0.9
2003,1,34,Pelly,lower,22.5
2003,1,35,Stewart,lower,3.1
2003,1,31,Teslin River,lower,7
2003,1,30,Upper Lakes and Mainstem,lower,1.2
2003,1,38,White-Donjek,lower,6.8
2004,1,32,Carmacks,lower,9.8
2004,1,36,Lower Mainstem,lower,14.9
2004,1,33,Middle Mainstem,lower,3.8
2004,1,34,Pelly,lower,16.7
2004,1,35,Stewart,lower,2.8
2004,1,31,Teslin River,lower,13.2
2004,1,30,Upper Lakes and Mainstem,lower,1.8
2004,1,38,White-Donjek,lower,5
2005,1,32,Carmacks,lower,10.8
2005,1,36,Lower Mainstem,lower,11.8
2005,1,33,Middle Mainstem,lower,0
2005,1,34,Pelly,lower,17.5
2005,1,35,Stewart,lower,0
2005,1,31,Teslin River,lower,27
2005,1,30,Upper Lakes and Mainstem,lower,1.4
2005,1,38,White-Donjek,lower,4.7
2008,1,32,Carmacks,lower,6.71
2008,1,36,Lower Mainstem,lower,5.92
2008,1,33,Middle Mainstem,lower,23.46
2008,1,34,Pelly,lower,15.1
